epoch ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0     ,lr/pg1     ,lr/pg2
   54 ,       0.55764 ,       0.5361  ,       0.88803 ,             0.75266 ,          0.78472 ,         0.81221 ,            0.71003 ,     0.67325 ,     1.0639  ,     0.9109  ,0.0006792  ,0.0006792  ,0.0006792
   55 ,       0.53155 ,       0.52415 ,       0.87785 ,             0.82318 ,          0.76035 ,         0.83077 ,            0.66354 ,     0.90966 ,     1.0788  ,     1.0141  ,0.00066506 ,0.00066506 ,0.00066506
   56 ,       0.52362 ,       0.50061 ,       0.87681 ,             0.79475 ,          0.77316 ,         0.83922 ,            0.70047 ,     0.72434 ,     0.88048 ,     0.91584 ,0.00065091 ,0.00065091 ,0.00065091
   57 ,       0.5176  ,       0.49261 ,       0.87896 ,             0.76588 ,          0.76505 ,         0.83128 ,            0.65956 ,     0.89617 ,     1.0943  ,     0.99643 ,0.00063676 ,0.00063676 ,0.00063676
   58 ,       0.5412  ,       0.49245 ,       0.88012 ,             0.80843 ,          0.79919 ,         0.8519  ,            0.70956 ,     0.77561 ,     0.87902 ,     0.95664 ,0.00062262 ,0.00062262 ,0.00062262
   59 ,       0.51947 ,       0.50595 ,       0.87525 ,             0.81283 ,          0.82059 ,         0.8723  ,            0.72369 ,     0.72277 ,     0.75904 ,     0.91031 ,0.00060847 ,0.00060847 ,0.00060847
   60 ,       0.50558 ,       0.48065 ,       0.87464 ,             0.84272 ,          0.87962 ,         0.91285 ,            0.78765 ,     0.60409 ,     0.55674 ,     0.86545 ,0.00059432 ,0.00059432 ,0.00059432
   61 ,       0.52316 ,       0.49734 ,       0.87901 ,             0.85075 ,          0.88631 ,         0.91481 ,            0.80853 ,     0.54062 ,     0.51651 ,     0.85482 ,0.00058017 ,0.00058017 ,0.00058017
   62 ,       0.58106 ,       0.50618 ,       0.89076 ,             0.83895 ,          0.774   ,         0.84663 ,            0.73865 ,     0.68913 ,     0.86572 ,     0.93856 ,0.00056603 ,0.00056603 ,0.00056603
   63 ,       0.55955 ,       0.4857  ,       0.88365 ,             0.83174 ,          0.89324 ,         0.91499 ,            0.76334 ,     0.68492 ,     0.52717 ,     0.88348 ,0.00055188 ,0.00055188 ,0.00055188
   64 ,       0.5112  ,       0.4755  ,       0.87861 ,             0.843   ,          0.86359 ,         0.90624 ,            0.7128  ,     0.84442 ,     0.62289 ,     0.94268 ,0.00053773 ,0.00053773 ,0.00053773
